시군명,사업단계,사업유형,정비구역명,위치,구역면적(㎡),(기존주택)준공년도,(기존주택)동수,(기존주택)세대수,(기존주택)면적별세대수(40㎡미만),(기존주택)면적별세대수(40~60㎡),(기존주택)면적별세대수(60~85㎡),(기존주택)면적별세대수(85~135㎡),(기존주택)면적별세대수(135㎡이상),사업시행세대수총계,조합원분양세대수,일반분양세대수,임대세대수,(신축주택)분양주택수,(신축주택)면적별분양주택수(40㎡미만),(신축주택)면적별분양주택수(40~60㎡),(신축주택)면적별분양주택수(60~85㎡),(신축주택)면적별분양주택수(85~135㎡),(신축주택)면적별분양주택수(135㎡이상),(신축주택)임대주택수,(신축주택)면적별임대주택수(40㎡미만),(신축주택)면적별임대주택수(40~60㎡),(신축주택)면적별임대주택수(60~85㎡),(기존)용적률,(신축)용적률,토지등소유자수(명),조합원수(명),사업시행자,사업예정기간(사업시작),사업예정기간(사업완료),정비예정구역고시일자,정비구역지정예정일자,정비계획승인일자,정비구역지정일자(최초지정),정비구역지정일자(변경지정),추진위승인일자,예비평가일자,안전진단일자,조합설립인가일자,사업시행인가일자,관리처분인가일자,착공일자,일반분양일자,준공일자,이전고시일자,현추진상황,업무담당자,담당자전화번호,비고
고양시,준공,재건축,일산Ⅱ-1구역(탄현주공),경기도 고양시 탄현동 28,23728,1989,13,33,2,12,15,4,,589,393,178,18,571,,141,398,32,,18,,18,,0.95,2.5,393,393,조합,2007,2012,2006-12-21,,,2007-10-22,,,,2003-06-30,2003-06-30,2008-12-31,2009-12-31,2011-03-04,2013-05-09,2013-08-02,2014-07-11,준공,송현직,031-8075-3435,
고양시,준공,도시환경,관산1차,경기도 고양시 관산동 178-52,6986,1987,21,33,2,12,15,4,,340,340,,,340,,136,102,68,34,,,,,1.26,6.69,53,50,조합,2007,2012,,,,2005-09-26,2007-08-13,2005-12-05,,,2006-01-10,2007-09-21,2007-12-27,2011-01-20,2011-04-28,2014-02-28,2014-03-14,준공,송현직,031-8075-3435,
고양시,준공,재건축,주교성사1단지,경기도 고양시 덕양구 성사동 869,66998,1986,35,1050,,846,204,,,1486,1026,310,150,1336,,164,616,376,180,150,,150,,0.8,2.77,1047,1047,조합,2005,2009,,,,2006-06-19,2007-12-27,,,2003-02-28,2003-06-30,2006-06-20,2006-10-12,2007-04-30,2009-11-25,2009-12-02,2010-06-18,준공,송현직,031-8075-3435,
고양시,조합설립,재개발,일산Ⅰ-2구역,경기도 고양시 일산동 960-16,17738,1940~2001,9,9,,4,5,,,390,331,,59,331,,295,36,,,59,51,8,,1.5,2.3,99,99,조합,2015,,2006-12-21,2008-01-01,2014-01-14,2015-04-10,2017-04-14,2010-02-01,,,2019-01-15,,,,,,,사업시행인가 준비 중,송현직,031-8075-3435,
고양시,조합설립,재건축,행신 Ⅱ-1구역,경기도 고양시 행신동 173-1,13062,1980~2003,13,267,20,90,120,37,,272,272,,,272,,132,140,,,,,,,1.04,2.3,186,151,조합,2010,,2006-12-21,2006-12-21,2009-09-01,2010-03-09,2017-03-24,,,,2001-09-21,,,,,,,사업시행인가 신청,권호영,031-8075-3432,
고양시,조합설립,재개발,고양 Ⅰ-1구역,경기도 고양시 덕양구 고양동 22-2,24500,1970~2004,45,196,15,70,90,21,,352,292,,60,292,,120,140,32,,60,60,,,0.37,2.22,124,120,조합,2009,,2006-12-21,2006-12-21,2009-06-30,2009-12-24,,2007-03-05,,,2010-06-18,,,,,,,시공자 선정 중,송현직,031-8075-3435,
고양시,예정구역,재건축,관산Ⅱ-1구역,경기도 고양시 관산동 178-57대,16404,1980~1992,8,435,20,80,235,100,,,,,,,,,,,,,,,,2.3,2.3,435,,,,,2014-01-06,2025-12-31,,,,,2019-05-13,,,,,,,,,정비예정구역 고시,송현직,031-8075-3435,
고양시,예정구역,재개발,행신Ⅰ-1구역,경기도 고양시 행신동3동 222,29268,1980~2012,84,723,43,180,350,150,,,,,,,,,,,,,,,,2,2.3,723,,,,,2014-01-06,2025-12-31,,,,,,,,,,,,,,정비예정구역 고시,송현직,031-8075-3435,
고양시,사업시행,재개발,고양Ⅰ-2구역,경기도 고양시 덕양구 고양동 92-1,16154,1980~1995,14,160,10,60,80,10,,260,215,,45,215,,41,174,,,45,42,3,,0.55,2.18,132,129,조합,2008,,2006-12-21,,,2009-06-09,2011-06-17,2007-04-23,,,2009-11-20,2011-06-24,,,,,,관리처분계획인가 준비 중,송현직,031-8075-3435,
고양시,준공,재건축,원당주공2단지,경기도 고양시 성사동 715,77755,1986,37,1260,,800,460,,,1651,1363,,288,1363,,117,685,476,85,288,,223,65,0.77,2.66,1260,1252,조합,2007,2010,,,,2006-01-16,2006-05-22,,,2003-03-24,2003-06-30,2006-05-24,2006-10-23,2007-04-23,2009-11-17,2009-10-30,2010-03-30,준공,송현직,031-8075-3435,
고양시,착공,재건축,능곡 2-1(능곡연합),경기도 고양시 덕양구 토당동 251-12,33263,1985,45,534,,416,118,,,834,493,266,75,759,,374,385,,,75,,75,,1.23,2.83,541,489,조합,2007,,2006-12-21,,,2007-08-27,2018-12-21,2003-12-29,2003-05-28,2003-11-04,2007-08-31,2008-03-14,2018-05-10,2020-02-19,2020-10-16,,,공사 중,권호영,031-8075-3432,
과천시,조합설립,재건축,"주공8,9단지구역",경기도 과천시 부림동 41,137996,1982,29,2120,,540,1580,,,2859,2120,739,,2859,,190,1957,704,8,,,,,1.3,2.37,2165,1845,조합,2019,2027,2010-04-30,2010-04-30,2019-02-28,2019-02-28,,2020-05-20,,2014-12-29,2021-02-23,,,,,,,건축심의 준비 중,차환,02-3677-2652,
과천시,준공,재건축,주공1단지,경기도 과천시 중앙동 37,114500,1981,39,1062,,400,662,,,1571,1062,509,,1571,,462,581,473,55,,,,,0.75,1.88,1135,1133,조합,2011,2020,2010-04-30,,2011-09-23,2011-09-23,2019-07-17,2011-11-25,,2010-05-06,2012-04-06,2015-06-17,2016-03-22,2017-09-08,2019-07-22,2020-03-31,2020-10-15,이전고시,김민수,02-3677-2653,
과천시,추진위원회,재건축,주공10단지구역,경기도 과천시 중앙동 67,102100,1984,26,632,,,172,460,,1339,632,707,,1339,,,1339,,,,,,,0.82,1.8,632,,추진위,2016,2028,2010-04-30,2010-04-30,2016-11-21,2016-11-21,,2017-03-30,,2014-12-29,,,,,,,,조합설립인가 준비 중,박초롱,02-3677-2657,
과천시,조합설립,재개발,주암장군마을,경기도 과천시 주암동 63-9,52895,1980-2009,143,420,20,175,41,65,119,880,408,428,44,836,,214,464,158,,44,44,,,1.45,2.32,408,408,조합,2016,2027,2010-04-30,2015-12-31,2016-08-12,2016-08-12,2021-04-06,2017-05-01,,,2018-08-20,,,,,,,사업시행인가 준비 중,이명진,02-3677-2656,
과천시,조합설립,재건축,주공5단지구역,경기도 과천시 별양동 6,63629,1983,7,800,,,,800,,1240,800,440,,1240,,,1240,,,,,,,1.75,2.5,834,776,조합,2017,2027,2010-04-30,2010-04-30,2017-05-15,2017-05-15,2020-10-29,2017-06-23,,2014-12-29,2020-01-23,,,,,,,건축심의 준비 중,김민수,02-3677-2653,
과천시,준공,재건축,주공7-2단지,경기도 과천시 별양동 3,31967,1982,11,400,,300,100,,,543,400,143,,543,,224,274,45,,,,,,0.91,2.2,400,400,조합,2011,2018,2010-04-30,,2011-12-29,2011-12-29,2012-03-19,2012-06-19,,2010-05-06,2013-07-17,2014-10-31,2015-07-10,2016-04-28,2016-05-24,2018-07-25,2018-12-12,이전고시,김민수,02-3677-2653,
과천시,착공,재건축,주공6단지,경기도 과천시 별양동 52,118176,1982,47,1262,,620,642,,,2099,1316,783,,2099,,706,845,504,44,,,,,0.81,2.28,1340,1294,조합,2011,2021,2010-04-30,,2011-09-23,2011-09-23,2017-12-20,2003-12-30,,2010-05-06,2011-12-08,2015-06-25,2016-07-27,2018-12-23,2019-05-15,,,착공,이명진,02-3677-2656,
과천시,준공,재건축,주공2단지,"경기도 과천시 원문동 2, 별양동 8",118069,1982,38,1620,500,1120,,,,2128,1607,521,,2128,62,806,1011,249,,,,,,0.71,2.27,1618,1607,조합,2011,2021,2010-04-30,,2011-08-09,2011-08-09,2021-05-18,2003-11-01,2006-08-23,2007-04-10,2012-09-26,2015-06-30,2016-11-16,2018-02-20,2018-03-16,2021-01-28,2021-05-20,이전고시,차환,02-3677-2652,
과천시,준공,재건축,주공7-1단지,경기도 과천시 부림동 49,80419,1982,24,722,,400,322,,,1317,739,578,,1317,,316,752,247,2,,,,,0.67,2.12,746,717,조합,2011,2020,2010-04-30,,2011-12-29,2011-12-29,2021-03-18,2012-03-20,,2010-05-06,2013-12-19,2015-08-27,2016-04-15,2017-12-01,2018-01-25,2020-12-21,2021-05-20,이전고시,김민수,02-3677-2653,
과천시,준공,재건축,주공12단지,경기도 과천시 갈현동 369,9289,1984,5,44,,,,44,,100,43,57,,100,,,62,35,3,,,,,0.47,1.64,47,45,조합,2007,2020,,,,,,2004-01-12,,2006-04-27,2006-06-08,2006-07-11,2007-01-05,2018-05-21,2018-05-25,2020-08-11,2020-11-23,이전고시,이명진,02-3677-2656,
과천시,사업시행,재건축,주공4단지구역,경기도 과천시 별양동 7,60679,1983,10,1110,,210,900,,,1437,1110,327,,1437,,259,1018,160,,,,,,1.7,2.83,1169,1167,조합,2017,2024,2010-04-30,2010-04-30,2017-05-15,2017-05-15,2019-04-24,2017-07-19,,2014-12-29,2018-03-12,2020-09-01,,,,,,관리처분계획 준비 중,박초롱,02-3677-2657,
광명시,준공,주거환경개선,광명삼각주,경기도 광명시 철산동 606,11480,1996,170,281,,220,61,,,401,,182,219,182,,92,90,,,219,,219,,50~100%,2.84,278,278,LH,1997,2001,,,,1996-06-26,,,,,,1997-09-30,,1999-04-15,2000-10-10,2001-10-15,,준공,고성근,02-2680-0738,
광명시,준공,주거환경개선,광명철산,경기도 광명시 철산동 510,78673,1991,380,1952,148,1025,576,203,,2351,,1117,1234,1117,,462,541,114,,1234,580,654,,50~100%,2.75,1933,1933,LH,1996,2002,,,,1996-02-03,,,,,,1996-11-14,,1998-08-28,2001-05-07,2002-05-24,,준공,고성근,02-2680-0738,
광명시,준공,재건축,하안주공본2단지아파트,경기도 광명시 하안동 769,63744,1982,42,940,940,,,,,1248,948,300,,1248,,250,556,336,106,,,,,0.8,2.45,962,962,조합,2006,2009,,,,2005-03-28,,,2002-02-21,2002-05-30,2002-08-27,2005-05-16,2005-12-22,2006-11-30,2009-08-04,2009-11-02,2010-04-23,준공,김영환,02-2680-2907,
광명시,준공,재건축,하안주공본1단지아파트,경기도 광명시 하안동 764,132500,1982,57,2440,2440,,,,,2815,2387,428,,2815,,596,1492,674,53,,,,,0.8,2.51,2440,2382,조합,2006,2010,,,,2005-03-28,,,2001-12-10,2002-03-21,2002-09-23,2005-05-16,2005-12-28,2006-11-28,2009-10-08,2010-01-14,2010-05-25,준공,김영환,02-2680-2907,
광명시,준공,재건축,철산주공3단지아파트,경기도 광명시 철산동 552,96200,1981,38,1900,1900,,,,,2072,1887,185,,2072,,513,1046,405,108,,,,,0.8,2.49,1900,1899,조합,2006,2009,,,,2005-03-28,,,2001-11-28,2002-02-22,2002-08-27,2005-05-16,2005-12-21,2006-12-26,2009-12-28,2009-11-26,2011-05-27,준공,김영환,02-2680-2907,
광명시,준공,재건축,철산주공2단지아파트,경기도 광명시 철산동 373,58711,1980,24,1000,1000,,,,,1264,1027,237,,1264,,286,584,334,60,,,,,0.8,2.54,1004,1004,조합,2006,2009,,,,2005-03-28,,,2002-06-04,2003-04-21,2002-06-30,2005-05-16,2005-12-28,2007-01-29,2009-12-04,2010-02-18,2011-07-06,준공,김영환,02-2680-2907,
광명시,준공,재건축,광육재건축단지,경기도 광명시 광명6동 354-24,73577,1981,241,241,6,23,59,97,56,1267,812,343,112,1155,,142,566,263,184,112,,112,,1.6,2.64,1023,907,조합,2006,2015,,,,2006-01-16,,,2000-06-20,2001-12-15,2000-03-29,2006-06-30,2006-10-19,2008-12-05,2011-12-18,2015-09-01,2016-01-20,준공,김영환,02-2680-2907,
광명시,준공,재개발,철산두산위브아파트,경기도 광명시 철산동 50 일대,32650,1980,116,517,48,153,223,93,,900,531,369,,900,,356,364,180,,,,,,1.14,2.92,563,531,조합,2003,2007,,,,2000-06-14,2007-02-26,,,,2001-09-21,2003-05-06,2004-01-16,2004-09-02,2004-10-13,2007-03-29,2007-06-27,준공,김영환,02-2680-2907,
광명시,준공,재건축,철산주공4단지,경기도 광명시 철산3동 452,35288,1985,15,470,,,470,,,798,475,323,,798,,443,327,28,,,,,,0.82,2.85,478,472,조합,2014,2021,,,2010-11-25,2011-10-31,,2012-01-19,2009-11-18,2010-04-02,2013-08-08,2016-06-30,2017-03-03,2018-07-04,2018-07-19,2021-02-26,,준공,김영환,02-2680-2907,
광명시,착공,재건축,철산주공7단지,경기도 광명시 철산3동 233,61041,1985,23,599,,283,316,,,1313,599,714,,1313,,759,492,62,,,,,,0.67,2.66,631,631,조합,2014,2021,,,2009-11-07,2012-09-11,,2012-11-02,2009-12-04,2010-05-17,2014-05-28,2017-08-08,2018-02-12,2019-04-30,2019-08-29,,,착공,김영환,02-2680-2907,
광명시,관리처분,재건축,"철산주공8,9단지",경기도 광명시 철산2동 235,173856,1985,77,2064,310,910,640,204,,3801,2057,1652,92,3709,,,3289,420,,92,,92,,0.8,2.85,2095,2059,조합,2014,2022,,,2010-07-27,2011-05-24,,2004-01-08,2009-10-06,2010-01-25,2014-03-26,2018-12-28,2020-07-15,,,,,이주준비중,김영환,02-2680-2907,
광명시,관리처분,재건축,"철산주공10,11단지",경기도 광명시 철산2동 105,67738,1985,31,1080,260,820,,,,1490,1080,410,,1490,,,1421,69,,,,,,0.85,2.85,1125,1116,조합,2014,2022,,,2010-10-02,2011-05-24,,2011-10-06,2009-10-29,2010-03-02,2013-10-25,2019-06-13,2021-01-26,,,,,관리처분인가,김영진,02-2680-6954,
광명시,준공,주거환경개선,광명신촌마을,경기도 광명시 소하동 4-1,112120,2001,501,919,23,550,346,,,1760,,885,875,885,,113,628,144,,875,66,809,,50~100%,1.76,910,910,LH,2003,2010,,,,2003-05-28,2009-01-09,,,,,2005-02-07,,2009-06-30,2009-08-26,2010-10-29,,준공,고성근,02-2680-0738,
광명시,준공,재건축,광명5동(월드메르디앙아파트),경기도 광명시 광명동 776-49,19983,1981,35,273,273,,,,,577,264,313,,577,,126,451,,,,,,,1.67,2.97,273,264,조합,2004,2007,,,,2004-06-14,,,,,1996-09-26,2003-06-26,,2004-08-23,2004-08-19,2007-04-26,,준공,김영환,02-2680-2907,
구리시,관리처분,재건축,수택1지구,경기도 구리시 수택동532,32535,1982,143,305,,,,305,,565,275,255,35,530,,215,315,,,35,,35,,0.75,2.4985,291,259,조합,2004,2022,,,,2007-07-30,2008-07-21,2005-11-04,,,2007-12-27,2008-12-24,2019-10-01,,,,,철거 완료 후 착공 준비 중,배강록,031-550-2411,
구리시,착공,재개발,인창주택,경기도 구리시 인창동320-2,33912,1957~2004,135,375,,,,375,,632,261,339,32,600,78,306,216,,,32,32,,,1,2.3628,302,237,조합,2005,2021,,,,2007-05-28,2019-01-04,2005-11-14,,,2007-08-10,2008-02-11,2015-11-03,2018-04-05,2018-04-18,,,공사 중,홍주영,031-550-8304,
구리시,준공,재건축,수택지구,경기도 구리시 수택동556,20159,1982,68,257,,,,257,,410,196,166,48,362,,228,134,,,48,,48,,0.7,2.4974,223,193,조합,2004,2021,,,2006-04-14,2007-07-30,2018-10-15,2004-02-16,,,2011-09-08,2016-02-04,2017-04-27,2019-04-01,2019-04-03,2021-06-30,,준공,장제훈,031-550-8302,
구리시,사업시행,재개발,딸기원2지구,경기도 구리시 교문동339,84013,1952/2009,184,477,,,,477,,1096,293,561,242,854,,322,526,6,,242,52,190,,0.43,1.6,300,293,조합,2013,,,,2010-09-30,2013-03-08,2019-09-30,2007-12-12,,,2016-01-27,2020-02-17,,,,,,관리처분계획인가 준비 중,홍주영,031-550-8304,
군포시,조합설립,도시환경,군포10구역,경기도 군포시 당동 781-1,37751,1975~2004,102,610,300,200,100,10,,1046,391,602,53,1046,44,308,690,4,,53,35,18,,1.92,6.16,391,391,조합,2010,2025,,,2010-04-30,2010-09-20,2021-01-29,2011-08-10,,,2016-03-07,,,,,,,사업시행인가 준비 중,이수민,031-390-0983,
군포시,준공,재건축,산본주공아파트,경기도 군포시 산본동 208외 5,128359,1985,80,1728,1728,,,,,2644,1726,644,274,2370,,257,1100,581,432,274,,274,,0.83,2.7,1763,1716,조합,2002,2010,,,,2006-06-20,2008-07-10,2003-10-06,,2002-12-30,2003-12-31,2006-07-10,2007-03-09,2007-10-29,2009-11-11,2010-09-20,2010-10-20,준공,민승준,031-390-0725,
김포시,준공,주거환경관리,서암,경기도 김포시 통진읍 서암리 758-22,18490,1984,51,126,,,126,,,,,,,,,,,,,,,,,2,2,47,,市,2014,2019,,,,2015-11-14,,,,,,,,2016-05-04,,2019-06-19,,계획도로 조성공사 완료,박희진,031-980-5594,
김포시,정비구역,주거환경개선,양곡마을,경기도 김포시 양촌읍 양곡리 403-4,46583,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,2019-07-31,,,,,,,,,,,,정비구역 지정,박희진,031-980-5594,
남양주시,준공,재건축,도농3개통,경기도 남양주시 도농동 294,28211,1952~2003,118,212,40,34,80,53,5,457,178,258,21,436,,81,251,104,,21,,21,,2.95,2.49,199,178,조합,2003,2014,,,,2006-10-26,,2003-11-25,2006-11-08,2006-11-08,2003-12-04,2007-07-23,2008-01-03,2012-05-08,2012-10-22,2016-12-08,2017-08-03,조합 청산절차 진행 중,양현덕,031-590-4417,
남양주시,예정구역,재개발,퇴계원1,경기도 남양주시 퇴계원읍 퇴계원리 261-16,24553,1980~2000,78,468,,29,31,381,27,,,,,,,,,,,,,,,0.518,2.5,,,,,,2020-12-24,2025-12-31,,,,,,,,,,,,,,정비예정구역 고시,김원호,031-590-8753,
남양주시,예정구역,재개발,금곡6,경기도 남양주시 금곡동 162-42,25339,1978~2004,45,560,94,255,168,37,6,,,,,,,,,,,,,,,1.125,2.5,,,,,,2020-12-24,1930-12-31,,,,,,,,,,,,,,정비예정구역 고시,김원호,031-590-8753,
남양주시,예정구역,재개발,퇴계원4,경기도 남양주시 퇴계원읍 퇴계원리 82-13,18986,1980~2014,64,168,6,105,9,34,14,,,,,,,,,,,,,,,0.361,2.5,,,,,,2020-12-24,2025-12-31,,,,,,,,,,,,,,정비예정구역 고시,김원호,031-590-8753,
남양주시,정비구역,재개발,퇴계원2,경기도 남양주시 퇴계원읍 퇴계원리 109-8,19335,1984~2015,68,285,1,6,120,158,,,,,,,,,,,,,,,,0.302,2.5,285,,,,,2020-12-24,2023-12-31,2021-03-11,2021-03-11,,,,,,,,,,,,추진위원회 준비중,김원호,031-590-8753,
남양주시,예정구역,재개발,금곡7,경기도 남양주시 금곡동 158-7,15269,1981~2014,22,164,8,9,56,89,2,,,,,,,,,,,,,,,1.267,2.5,,,,,,2020-12-24,1930-12-31,,,,,,,,,,,,,,정비예정구역 고시,김원호,031-590-8753,
남양주시,예정구역,재개발,퇴계원7,경기도 남양주시 퇴계원읍 퇴계원리 299-8,10929,1988~1995,24,211,66,129,16,,,,,,,,,,,,,,,,,1.341,2.5,,,,,,2020-12-24,1930-12-31,,,,,,,,,,,,,,정비예정구역 고시,김원호,031-590-8753,
남양주시,예정구역,재건축,오남1,경기도 남양주시 오남읍 오남리 683-5,99413,1988~2004,48,2296,411,382,1038,370,95,,,,,,,,,,,,,,,1.468,3,2296,,,,,2020-12-24,2023-12-31,,,,,,2020-01-10,,,,,,,,정비예정구역 고시,박형진,031-590-4769,
남양주시,추진위원회,재건축,호평2(남양아파트),경기도 남양주시 호평동 196-4,12264,1984,7,339,,146,193,,,339,339,,,339,,,339,,,,,,,1.306,3,339,,추진위,2010,,2020-12-24,2025-12-31,,,,2003-11-13,2003-06-30,2003-07-25,,,,,,,,정비구역 지정 준비,김원호,031-590-8753,
남양주시,추진위원회,재건축,금곡5(인정프린스),경기도 남양주시 금곡동 산108-1,10088,1986,3,270,,270,,,,270,270,,,270,,,270,,,,,,,1.48,3,248,,추진위,2010,,2020-12-24,1930-12-31,,,,2006-06-28,2003-08-01,,,,,,,,,안전진단 준비 중,김원호,031-590-8753,
남양주시,조합설립,재건축,금곡2(서울아파트),경기도 남양주시 금곡동 159-59,19166,1986,9,413,66,62,167,77,41,576,576,,,576,,338,238,,,,,,,1.437,2.96,411,402,조합,2016,2022,2020-12-24,2012-12-31,2015-09-10,2015-09-10,2017-03-30,2016-01-27,,2015-01-27,2017-05-08,,,,,,,사업시행인가 검토 중,허용욱,031-590-2386,
남양주시,관리처분,재건축,평내1(진주아파트),경기도 남양주시 평내동 산84-11,60046,1985~1987,43,1260,232,486,542,,,1843,1103,695,45,1798,,1603,195,,,45,,45,,1.29,2.9,1299,1124,조합,2010,,2020-12-24,,,2008-10-23,2018-08-09,2003-12-30,2003-05-30,2003-06-13,2009-03-04,2010-09-17,2012-04-19,,,,,이주 및 철거 중,김선혁,031-590-4317,
남양주시,착공,재건축,"평내2 (양지,삼창아파트)",경기도 남양주시 평내동 103-2,39162,1986~1989,11,1005,408,597,,,,1108,820,247,41,1067,,794,273,,,41,,41,,1.88,2.76,1017,819,조합,2010,2022,2020-12-24,2012-12-31,2011-01-13,2011-01-20,2016-07-28,2011-06-24,2003-05-30,2003-06-19,2011-12-29,2016-12-22,2017-09-25,2019-08-27,2019-08-28,,,공사 중,양현덕,031-590-4417,
남양주시,준공,재건축,지금2지구,경기도 남양주시 지금동 129-65,61301,1960~1998,222,1470,290,266,557,340,17,1008,762,213,33,975,,209,498,268,,33,,33,,1.2,2.45,789,681,조합,2003,2015,,,,2006-09-01,2016-07-07,,2003-04-30,2003-04-30,2003-06-25,2007-03-22,2007-12-31,2012-07-24,2013-05-14,2017-06-30,2017-11-01,조합 청산절차 진행 중,김선혁,031-590-4317,
남양주시,예정구역,재개발,퇴계원5,경기도 남양주시 퇴계원읍 퇴계원리 272,14045,1986~2010,41,263,2,24,93,143,1,,,,,,,,,,,,,,,0.662,2.5,,,,,,2020-12-24,2025-12-31,,,,,,,,,,,,,,정비예정구역 고시,김원호,031-590-8753,
남양주시,준공,재건축,"남광,신우",경기도 남양주시 도농동 2-5,23290,1979,9,177,22,24,75,41,15,317,176,107,34,283,,,283,,,34,,34,,0.96,2.12,162,162,조합,2000,2013,,,,2007-07-02,,,,1999-11-15,2000-03-17,2009-11-03,2010-03-30,2011-05-13,2013-05-16,2013-12-30,2014-02-13,조합 청산절차 진행 중,양현덕,031-590-4417,
남양주시,예정구역,재개발,진접7,경기도 남양주시 진접읍 내각리 산31-7,10812,1986,7,228,,196,32,,,,,,,,,,,,,,,,,1.22,2.5,,,,,,2020-12-24,2025-12-31,,,,,,,,,,,,,,정비예정구역 고시,김원호,031-590-8753,
